personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Johnelle Hunt,4700,3000,True,90,Logistics,United States,F
Lai Meisong,4700,3000,True,51,Logistics,China,M
Richard Li,4700,4000,False,55,Telecom,Hong Kong,M
Mangal Prabhat Lodha,4700,3000,True,66,Real Estate,India,M
Igor Olenicoff,4700,4000,True,79,Real Estate,United States,M
Mark Shoen,4700,3000,False,71,Automotive,United States,M
Murat Ulker,4700,4000,False,63,Food & Beverage,Turkey,M
Yu Yong,4700,4000,True,61,Finance & Investments,China,M
Bubba Cathy,4600,4000,False,67,Food & Beverage,United States,M
Dan Cathy,4600,4000,False,69,Food & Beverage,United States,M
Jason Chang,4600,2000,True,77,Technology,Taiwan,M
Bruce Flatt,4600,1000,True,56,Finance & Investments,United Kingdom,M
Masatoshi Ito,4600,3000,True,97,Fashion & Retail,Japan,M
Viatcheslav Kantor,4600,3000,True,68,Manufacturing,United Kingdom,M
Richard White,4600,1000,True,67,Technology,Australia,M
Michael Ashley,4500,3000,True,57,Fashion & Retail,United Kingdom,M
Ron Baron,4500,2000,True,78,Finance & Investments,United States,M
Bert Beveridge,4500,2000,True,60,Food & Beverage,United States,M
David Bonderman,4500,2000,True,79,Finance & Investments,United States,M
Guo Guangchang,4500,8000,True,55,Diversified,China,M
Daryl Katz,4500,3000,True,60,Diversified,Canada,M
Trevor Rees-Jones,4500,4000,True,70,Energy,United States,M
Robert Rowling,4500,5000,False,68,Service,United States,M
Mark Stevens,4500,2000,True,62,Finance & Investments,United States,M
Gustav Magnar Witzoe,4500,1000,False,28,Food & Beverage,Norway,M
Yeung Kin-man,4500,5000,True,58,Manufacturing,Hong Kong,M
Andrej Babis,4400,4000,True,67,Food & Beverage,Czechia,M
Barry Diller,4400,3000,True,80,Media & Entertainment,United States,M
Marian Ilitch,4400,5000,True,89,Food & Beverage,United States,F
Edwin Leong,4400,3000,True,70,Real Estate,Hong Kong,M
N.R. Narayana Murthy,4400,2000,True,75,Technology,India,M
Pyotr Aven,4300,5000,True,67,Finance & Investments,Russia,M
